,Occur_date,Occur_weekday,incident,cases,time,location,release,zip,latitude,longitude
1909,NA,NA,Robbery,2019-00092055,NA,8230 Watts Rd (Kelley's Market Mobil),Lt. Scott Kleinfeldt,53719,43.0560013,-89.5269082
1910,NA,NA,Robbery,2019-90849,NA,2900 block Turbot Drive,PIO Joel Despain,53713,43.0294699,-89.418236
1911,NA,NA,Weapons Violation,2019-89439,NA,1800 block Northport Dr.,PIO Joel Despain,53704,43.1299419,-89.3611577
1912,NA,NA,Non-Residential Burglary,2019-89036,NA,4515 Verona Rd. (Great Wall),PIO Joel Despain,53711,43.0352412,-89.4535994
1913,NA,NA,Missing Juvenile,2019-87634,NA,Tottenham Rd.,PIO Joel Despain,53711,43.0298752,-89.4977371
1914,NA,NA,Suspicious Person,2019-77858,NA,Swallowtail Dr. (at Settlers Rd.),PIO Joel Despain,53717,43.0793654,-89.5412114
1915,NA,NA,Residential Burglary,2019-81002,NA,300 block Harbour Town Dr.,PIO Joel Despain,53717,43.0674135,-89.5262505
1916,NA,NA,Arrested Person,2019-85241,NA,100 block Deer Valley Rd.,PIO Joel Despain,53713,43.0347277,-89.3850221
1917,NA,NA,Arrested Person,2019-85241,NA,100 block Deer Valley Rd.,PIO Joel Despain,53713,43.0347277,-89.3850221
1918,NA,NA,Intoxicated/Impaired Driver,2019-84990,NA,3700 block Packers Ave.,PIO Joel Despain,53704,43.1335357,-89.355357
1919,NA,NA,Intoxicated/Impaired Driver,2019-085878,NA,4002 E. Washington Ave (Arby's Restaurant),Sgt. Joseph Engler,53704,43.1238009,-89.315245
1920,NA,NA,Residential Burglary,2019-84435,NA,3200 block Milwaukee St.,PIO Joel Despain,53714,43.0999179,-89.335128
1921,NA,NA,Miscellaneous Sex Offense,2019-83979,NA,626 S. Whitney Way (Half Price Books),PIO Joel Despain,53719,43.0521003,-89.4758053
1922,NA,NA,Fraud,2019-71178,NA,N. Pinckney St.,PIO Joel Despain,53703,43.0776684,-89.3858084
1923,NA,NA,Weapons Violation,2019-80691,NA,2200 block Pike Drive,PIO Joel Despain,53713,43.0296729,-89.4177464
1924,NA,NA,Weapons Violation,2019-80813,NA,1100 Mendota St.,Lt. Reginald Patterson,53714,43.1139698,-89.3151198
1925,NA,NA,Weapons Violation,2019-79885,NA,2300 block Allied Dr.,PIO Joel Despain,53711,43.0289256,-89.4597532
1926,NA,NA,Drug Investigation,2019-40776,NA,1100 block Moorland Rd.,PIO Joel Despain,53713,43.0337008,-89.3667818
1927,NA,NA,Non-Residential Burglary,2019-78169,NA,4325 Mohawk Dr. (BP gas station),PIO Joel Despain,53711,43.0379743,-89.4507673
1928,NA,NA,Fraud,2019-77055,NA,Paus Street,PIO Joel Despain,53714,43.0919883,-89.3195624
1929,NA,NA,Robbery,2019-76591,NA,7011 Watts Rd. (Subway restaurant),Lt. Reginald Patterson,53719,43.0498188,-89.5042226
1930,NA,NA,Disturbance,2019-075361,NA,6500 Schroeder Rd.,Lt. Reginald Patterson,53711,43.0462872,-89.4926749
1931,NA,NA,Non-Residential Burglary,2019-75472,NA,1903 S. Park St. (Simply Communications),PIO Joel Despain,53713,43.0453228,-89.393534
1932,NA,NA,Attempted Homicide,2019-52962,NA,800 S. Midvale Blvd.,Lt. Reginald Patterson,53711,43.0475519,-89.4512554
1933,NA,NA,Attempted Homicide,2019-52962,NA,800 S. Midvale Blvd.,Lt. Reginald Patterson,53711,43.0475519,-89.4512554
1934,NA,NA,Weapons Violation,2019-73905,NA,400 block of Parkwood Lane,Sgt. Nathan Becker,53714,43.1050565,-89.3116376
1935,NA,NA,Drug Investigation,2019-710021,NA,S. Gammon Rd. (at Watts Rd.),PIO Joel Despain,NA,43.0489742,-89.503249
1936,NA,NA,Residential Burglary,2019-70397,NA,3500 block Ridgeway Ave.,PIO Joel Despain,53704,43.1152146,-89.3294138
1937,NA,NA,Robbery,2019-71080,NA,2400 block Prairie Ave.,PIO Joel Despain,53711,43.0269544,-89.4892149
1938,NA,NA,Weapons Violation,2019-72062,NA,West Beltline Highway (at S. Whitney Way),PIO Joel Despain,NA,43.0428229,-89.4657145
1939,NA,NA,Weapons Violation,2019-72562,NA,Sunfish Court,PIO Joel Despain,53713,43.0282962,-89.4166248
1940,NA,NA,Information,2019-71791,NA,Pleasant View Rd (Between Mineral Point Rd and Valley View Rd),Lt. John Radovan,NA,43.0732084,-89.5370886
1941,NA,NA,Residential Burglary,2019-67165,NA,Darwin Road (new street: 4700 block Creekwood Lane),PIO Joel Despain,53704,43.1288351,-89.3510986
1942,NA,NA,Robbery,2019-66951,NA,3500 block East Washington Ave.,PIO Joel Despain,53704,43.1145074,-89.3286129
1943,NA,NA,Robbery,2019-67074,NA,1100 block Petra Place,PIO Joel Despain,53713,43.0372577,-89.4047174
1944,NA,NA,Robbery,2019-66039,NA,1907 S. Park St. (PLS Check Cashing),PIO Joel Despain,53713,43.0451899,-89.3935155
1945,NA,NA,Miscellaneous Sex Offense,2018-492537,NA,3100 block of Muir Field Rd.,PIO Joel Despain,53719,43.01826,-89.5085732
1946,NA,NA,Drug Investigation,2019-047144,NA,1100 block of S. Park St.,PIO Joel Despain,53715,43.055034,-89.3974283
1947,NA,NA,Drug Investigation,2019-020291,NA,1100 block Moorland Rd.,PIO Joel Despain,53713,43.0337008,-89.3667818
1948,NA,NA,Robbery,2019-65697,NA,605 Cottage Grove Rd. (Mobile Gas Station),Lt. Reginald Patterson,53716,43.0835813,-89.3154489
1949,NA,NA,Robbery,2019-65697,NA,605 Cottage Grove Rd. (Mobile Gas Station),Lt. Reginald Patterson,53716,43.0835813,-89.3154489
1950,NA,NA,Non-Residential Burglary,2019-64565,NA,2801 Atwood Ave. (BP gas station),PIO Joel Despain,53704,43.0937274,-89.3431663
1951,NA,NA,Robbery,2019-63536,NA,N. Orchard St. (Southwest Commuter Path),PIO Joel Despain,NA,43.0707069,-89.4073717
1952,NA,NA,Battery,2019-64091,NA,W. Washington Ave. (at N. Carroll St.),PIO Joel Despain,NA,43.0685351,-89.3930027
1953,NA,NA,Miscellaneous Sex Offense,2019-62578,NA,500 block N. Frances St.,PIO Joel Despain,53703,43.0753528,-89.3953528
1954,NA,NA,Non-Residential Burglary,2019-61958,NA,902 Atlas Ave (Phillips 66 Gas sation),Sgt. Ryan Gibson,53714,43.0846573,-89.307474
1955,NA,NA,Battery,2019-61610,NA,300 block West Washington Ave.,PIO Joel Despain,53703,43.0725795,-89.3870987
1956,NA,NA,Theft,2019-62156,NA,N Brearly St,Lt. John Radovan,53703,43.0854529,-89.3740664
1957,NA,NA,Robbery,2019-61871,NA,300 Block of Kent LN,Sgt. Ryan Gibson,53713,43.0334418,-89.3805512
1958,NA,NA,Robbery,2019-00061452,NA,6702 Mineral Point Rd (Capitol Petro),Lt. Scott Kleinfeldt,53705,43.0612042,-89.497343
1959,NA,NA,Missing Adult,2019-59665,NA,700 S Park St (St Mary's Hospital),Sgt. Ryan Gibson,53715,43.059354,-89.4009778
1960,NA,NA,Weapons Violation,2019-60528,NA,328 West Gorham St (Danny's Pub),Sgt. Ryan Gibson,53703,43.0743649,-89.3925601
1961,NA,NA,Injured Person,2019-58660,NA,Commercial Ave.,PIO Joel Despain,NA,43.1068915,-89.3256967
1962,NA,NA,Traffic Incident,2019-47605,NA,Fish Hatchery Rd. (at Emil St.),PIO Joel Despain,NA,43.0343978,-89.4071487
1963,NA,NA,Battery,2019-57179,NA,East Washington Ave. (at Sixth St.),PIO Joel Despain,NA,43.1096584,-89.3353739
1964,NA,NA,Intoxicated/Impaired Driver,2019-55531,NA,4518 Cottage Grove Rd. (Walgreens parking lot),PIO Joel Despain,53714,43.0846673,-89.3037889
1965,NA,NA,Intoxicated/Impaired Driver,2019-55531,NA,4518 Cottage Grove Rd. (Walgreens parking lot),PIO Joel Despain,53714,43.0846673,-89.3037889
1966,NA,NA,Residential Burglary,2019-54435,NA,505 N. Frances St. (Statesider),PIO Joel Despain,53703,43.075144,-89.395121
1967,NA,NA,Robbery,2019-54498,NA,2702 E. Washington Ave (Capitol Petro),Lt. Reginald Patterson,53704,43.1022049,-89.3473716
1968,NA,NA,Robbery,2019-47007,NA,2734 East Washington Ave. (Bottle Stop Liquors),PIO Joel Despain,53704,43.1028425,-89.3462234
1969,NA,NA,Battery,2019-43032,NA,Langdon St. (at North Carroll St.),PIO Joel Despain,NA,43.0761827,-89.3933315
1970,NA,NA,Robbery,2019-046797,NA,3710 E. Washington Ave. (Walgreen's),Sgt. Kurt Wege,53704,43.1181315,-89.3239695
1971,NA,NA,Weapons Violation,2019-046606,NA,5300 Raywood Rd.,Sgt. Kurt Wege,53713,43.049104,-89.3546313
1972,NA,NA,Robbery,2019-00046407,NA,2809 E Washington Ave (Tobacco Deals),Lt. Scott Kleinfeldt,53704,43.101806,-89.345314
1973,NA,NA,Damaged Property,2019-42156,NA,1600 block Mayfield Lane,PIO Joel Despain,53704,43.1397789,-89.3678381
1974,NA,NA,Sexual Assault,2019-43778,NA,Maple Valley Drive,PIO Joel Despain,53719,43.0169054,-89.4973108
1975,NA,NA,Sexual Assault,2019-42983,NA,Langdon Street,PIO Joel Despain,NA,43.0761827,-89.3933315
1976,NA,NA,Weapons Violation,2019-043265,NA,600 block Sawyer Terrace,PIO Joel Despain,53705,43.0725247,-89.4561521
1977,NA,NA,Weapons Violation,2019-42724,NA,2000 Frisch Rd,Lt. Reginald Patterson,53711,43.0316952,-89.4936639
1978,NA,NA,Disturbance,2019-39992,NA,Homberg Lane,PIO Joel Despain,53716,43.0752441,-89.2933473
1979,NA,NA,Theft,2019-38109,NA,711 S. Gammon Rd. (Woodman's),PIO Joel Despain,53711,43.0489722,-89.5026334
1980,NA,NA,Traffic incident/Road Rage,2019-38043,NA,3500 block Anderson St.,PIO Joel Despain,53704,43.1201193,-89.3279448
1981,NA,NA,Traffic incident/Road Rage,2019-38043,NA,3500 block Anderson St.,PIO Joel Despain,53704,43.1201193,-89.3279448
1982,NA,NA,Weapons Violation,2019-36716,NA,1800 block Northport Dr.,PIO Joel Despain,53704,43.1299419,-89.3611577
1983,NA,NA,Information,2019-37517,NA,4800 Block Buckeye Rd,Sgt. Ryan Gibson,53716,43.0740759,-89.3139105
1984,NA,NA,Weapons Violation,2019-37414,NA,119 W. Main St (Paradise Lounge),Sgt. Ryan Gibson,53703,43.0723726,-89.3846721
1985,NA,NA,Robbery,2019-36649,NA,520 S. Park Street (Pizza Hut),PIO Joel Despain,53715,43.0613179,-89.4010982
1986,NA,NA,Robbery,2019-8007,NA,1721 Monroe St. (Orange Tree Imports),PIO Joel Despain,53711,43.0654831,-89.4158927
1987,NA,NA,Non-Residential Burglary,2019-36013,NA,4102 Commercial Ave (BP Gas Station),Sgt. Ryan Gibson,53714,43.1080937,-89.3143368
1988,NA,NA,Traffic Incident,2019-34574,NA,US HWY 12/18,Sgt. Ryan Gibson,53711,43.0346888,-89.4470997
1989,NA,NA,Arrested Person,2019-34618,NA,Mineral Point Rd and Randolph Dr,Sgt. Ryan Gibson,53717,43.0606534,-89.5126617
1990,NA,NA,Weapons Violation,2019-34624,NA,3000 Block of Todd Drive,Sgt. Ryan Gibson,53713,43.0313531,-89.4238463
1991,NA,NA,Information,2019-34366,NA,2500 block of East Springs Dr,Sgt. Ryan Gibson,53704,43.1316137,-89.2980579
1992,NA,NA,Information,2019-00033236,NA,Ush 12/Gammon Rd/I90 (The beltline),Lt. Scott Kleinfeldt,NA,43.0392951,-89.3827067
1993,NA,NA,Drug Investigation,2019-30070,NA,4830 Hayes Rd. (Red Roof Inn),PIO Joel Despain,53704,43.1362337,-89.3013971
1994,NA,NA,Theft,2019-26632,NA,600 block Struck St.,PIO Joel Despain,53719,43.0515697,-89.495881
1995,NA,NA,Suspicious Person,2019-30478,NA,Secret Garden Dr. (at Arrowpoint Way),PIO Joel Despain,53558,43.0313541,-89.2738291
1996,NA,NA,Robbery,2019-30419,NA,3401 Milwaukee St. (Citgo),PIO Joel Despain,53714,43.0992758,-89.3322194
1997,NA,NA,Robbery,2019-30419,NA,3401 Milwaukee St. (Citgo),PIO Joel Despain,53714,43.0992758,-89.3322194
1998,NA,NA,Damaged Property,2019-30784,NA,2436 Regent Street (Di Rienzo Monument),Lt. Reginald Patterson,53726,43.0680962,-89.4284695
1999,NA,NA,Robbery,2018-484772,NA,600 Block South Shore St,Lt. Daniel Nale,53715,43.0569156,-89.3920855
2000,NA,NA,Traffic Incident,2019-29067,NA,1325 Northport Dr. (Culver's parking lot),PIO Joel Despain,53704,43.1341283,-89.3728841
2001,NA,NA,Battery,2019-27176,NA,201 S. Gammon Rd. (Memorial High School),PIO Joel Despain,53705,43.063699,-89.5016456
2002,NA,NA,Robbery,2019-27769,NA,4801 Annamark Dr. (Best Western East Towne Suites),PIO Joel Despain,53704,43.1321894,-89.2995244
2003,NA,NA,Arrested Person,2019-27726,NA,Pennsylvania Ave,Lt. Reginald Patterson,53704,43.0997647,-89.3596361
2004,NA,NA,Robbery,2019-027357,NA,5521 Odana Rd (Associated Bank),Sgt. Michael Goodchild,53719,43.0495922,-89.4747715
2005,NA,NA,Theft,2019-26633,NA,Berkshire Rd.,PIO Joel Despain,53711,43.0456829,-89.4952048
2006,NA,NA,Disturbance,2019-24360,NA,Manley Street,PIO Joel Despain,53704,43.1240173,-89.3594909
2007,NA,NA,Robbery,2019-25682,NA,200 block Randolph Dr.,PIO Joel Despain,53717,43.0630162,-89.512653
2008,NA,NA,Information,2019-026540,NA,3699 Kinsman Blvd (Bell Labratories),Lt. Reginald Patterson,53704,43.1252669,-89.3261791
2009,NA,NA,Robbery,2019-00026281,NA,800 block E. Washington Av. (Festival Foods),Lt. Mindy Winter,53703,43.081473,-89.3753149
2010,NA,NA,Robbery,2019-25693,NA,Odana Rd @ Odana Ln (Bus stop),Lt. John Radovan,53711,43.0500614,-89.472039
2011,NA,NA,Weapons Violation,2019-25160,NA,"4000 block of Claire Street, Madison, WI",Sgt. Nathan Becker,53716,43.0822999,-89.3150294
2012,NA,NA,Traffic Incident,2019-00023327,NA,Packers Ave/International Ln,Lt. Scott Kleinfeldt,53704,43.1215551,-89.3551037
2013,NA,NA,Traffic Incident,2019-00023327,NA,Packers Ave/International Ln,Lt. Scott Kleinfeldt,53704,43.1215551,-89.3551037
2014,NA,NA,Missing Juvenile,2019-21070,NA,1400 block East Washington Ave.,PIO Joel Despain,53703,43.089487,-89.3646221
2015,NA,NA,Fraud,2019-20366,NA,8000 block Old Sauk Rd.,PIO Joel Despain,53717,43.0750276,-89.5219516
2016,NA,NA,Residential Burglary,2019-19820,NA,4200 block Milford Rd.,PIO Joel Despain,53711,43.0317125,-89.4453637
2017,NA,NA,Robbery,2019-20416,NA,2300 block S. Park St.,PIO Joel Despain,53713,43.0412025,-89.3952894
2018,NA,NA,Information,2019-021386,NA,Gorham Street,Lt. Reginald Patterson,53703,43.0754426,-89.3907848
2019,NA,NA,Intoxicated/Impaired Driver,2019-021155,NA,1000E. Dayton Street,Lt. Reginald Patterson,53715,43.0709825,-89.402505
2020,NA,NA,Drug Investigation,2018-481026,NA,5317 High Crossing Blvd. (Grand Stay Hotel),PIO Joel Despain,53718,43.1394597,-89.2872106
2021,NA,NA,Weapons Violation,2018-267280,NA,500 Block Northport Drive,Lt. Daniel Nale,53704,43.1406073,-89.3899165
2022,NA,NA,Battery,2019-19529,NA,W. Broadway (at Fayette Ave.),PIO Joel Despain,NA,43.0461869,-89.3391093
2023,NA,NA,Missing Juvenile,2019-18866,NA,1600 block Wright St.,PIO Joel Despain,53704,43.1187489,-89.3305383
2024,NA,NA,Weapons Violation,2019-19160,NA,N. Wickham Court,PIO Joel Despain,53711,43.0301728,-89.4983589
2025,NA,NA,Weapons Violation,2019-19003,NA,2100 block Rosenberry Rd.,PIO Joel Despain,53711,43.0312386,-89.457941
2026,NA,NA,Robbery,2019-18371,NA,1100 block Moorland Rd.,PIO Joel Despain,53713,43.0337008,-89.3667818
2027,NA,NA,Arrested Person,2019-16641,NA,7933 Tree Lane,PIO Joel Despain,53717,43.0623883,-89.519245
2028,NA,NA,Robbery,2019-17130,NA,4270 East Towne Blvd. (Great Clips),PIO Joel Despain,53704,43.1253009,-89.3097375
2029,NA,NA,Robbery,2019-17130,NA,4270 East Towne Blvd. (Great Clips),PIO Joel Despain,53704,43.1253009,-89.3097375
2030,NA,NA,Weapons Violation,2019-16777,NA,2800 block Irvington Way,PIO Joel Despain,53713,43.0269092,-89.4260619
2031,NA,NA,Traffic Incident,2019-14921,NA,400 block Hawthorne Court,PIO Joel Despain,53715,43.0732151,-89.396587
2032,NA,NA,Robbery,2019-15311,NA,500 block North Pinckney St.,PIO Joel Despain,53703,43.078983,-89.3875408
2033,NA,NA,Intoxicated/Impaired Driver,2019-13923,NA,200 block Swanton Rd.,PIO Joel Despain,53714,43.1023082,-89.3019563
2034,NA,NA,Check Person,2019-15399,NA,N. Blair St. (at East Washington Ave.),PIO Joel Despain,53703,43.0800397,-89.3807096
2035,NA,NA,Non-Residential Burglary,2019-15102,NA,1101 N. Sherman Ave. (Capitol Petro),PIO Joel Despain,53704,43.1118184,-89.3632612
2036,NA,NA,Robbery,2019-15748,NA,Dutch Mill Road,PIO Joel Despain,53716,43.0498052,-89.3010825
2037,NA,NA,Robbery,2019-15851,NA,2300 block Columbus Lane,PIO Joel Despain,53704,43.1296041,-89.3080111
2038,NA,NA,Weapons Violation,2019-015088,NA,800 block Wheeler Rd,Sgt. Nathaniel Lujan,53704,43.1473749,-89.3846763
2039,NA,NA,Weapons Violation,2019-014799,NA,1200 block MacArthur Rd,Sgt. Nathaniel Lujan,53714,43.1129113,-89.3193905
2040,NA,NA,Drug Investigation,2018-477491,NA,Westbrook Circle,PIO Joel Despain,53711,43.0308026,-89.4908044
2041,NA,NA,Robbery,2019-00012057,NA,1900 block S. Park St.,Lt. Scott Kleinfeldt,53713,43.0447248,-89.3952358
2042,NA,NA,Robbery,2019-11317,NA,Waunona Woods Court,PIO Joel Despain,53713,43.0489961,-89.3413692
2043,NA,NA,Domestic/Family Trouble,2019-10814,NA,Gammon Lane,PIO Joel Despain,53719,43.0416329,-89.5033397
2044,NA,NA,Traffic Incident,2019-9949,NA,3600 block Speedway Rd.,PIO Joel Despain,53705,43.0644813,-89.4342835
2045,NA,NA,Traffic Incident,2019-9949,NA,3600 block Speedway Rd.,PIO Joel Despain,53705,43.0644813,-89.4342835
2046,NA,NA,Battery,2019-9273,NA,102 West Corporate Dr. (East Transfer Point),PIO Joel Despain,53714,43.0986302,-89.3222691
2047,NA,NA,Residential Burglary,2019-009767,NA,600 Block of N. Carroll Street,Lt. Reginald Patterson,53703,43.0782167,-89.3910861
2048,NA,NA,Non-Residential Burglary,2019-8675,NA,5614 Schroeder Rd. (Babes),PIO Joel Despain,53711,43.0469096,-89.4770975
2049,NA,NA,Robbery,2019-008476,NA,2601 Shopko Dr (Kelley's Mobile),Lt. Reginald Patterson,53704,43.1111499,-89.3479643
2050,NA,NA,Battery,2019-5200,NA,200 block State St.,PIO Joel Despain,53703,43.0749211,-89.3882098
2051,NA,NA,Intoxicated/Impaired Driver,2019-5733,NA,1800 block S. Stoughton Rd.,PIO Joel Despain,53716,43.0731039,-89.3098897
2052,NA,NA,Robbery,2019-007202,NA,4624 Monona Drive (STOP N GO),Lt. Reginald Patterson,53716,43.0695943,-89.3254008
2053,NA,NA,Robbery,2019-00006475,NA,600 Block West Washington,Sgt. John Rife,53703,43.0688509,-89.3924767
2054,NA,NA,Robbery,2019-004997,NA,2601 Fish Hatchery Rd (Kwik Trip),Lt. Reginald Patterson,53713,43.0368494,-89.4043871
2055,NA,NA,Traffic Incident,2019-3411,NA,East Washington Ave. (at Pawling St.),PIO Joel Despain,NA,43.1096584,-89.3353739
2056,NA,NA,Weapons Violation,2019-003656,NA,1800 Block of Elka Lane,Lt. Reginald Patterson,53704,43.1257798,-89.3615314
2057,NA,NA,Robbery,2019-2938,NA,East Towne Mall,PIO Joel Despain,53704,43.124897,-89.3052868
2058,NA,NA,Robbery,2018-502229,NA,605 Cottage Grove Rd. (Mobil gas station),PIO Joel Despain,53716,43.0835813,-89.3154489
2059,NA,NA,Intoxicated/Impaired Driver,2019-0002011,NA,1700 block of Manley St,Lt. Scott Kleinfeldt,53704,43.1241004,-89.3635092
2060,NA,NA,Theft,2018-503620,NA,201 Junction Rd. (Target),PIO Joel Despain,53717,43.0631218,-89.5244275
2061,NA,NA,Theft,2018-503620,NA,201 Junction Rd. (Target),PIO Joel Despain,53717,43.0631218,-89.5244275
2062,NA,NA,Intoxicated/Impaired Driver,2018-001138,NA,Zeier Road and E. Washington Avenue,Sgt. Nathan Becker,53704,43.1298556,-89.3058057
2063,NA,NA,Intoxicated/Impaired Driver,2019-385,NA,400 W Gilman St,Lt. John Radovan,53703,43.0746101,-89.3938659
2064,NA,NA,Robbery,2018-503466,NA,3500 E. Washington Ave (Business Establishment),Sgt. Shannon Blackamore,53704,43.1145074,-89.3286129
2065,NA,NA,Robbery,2018-503370,NA,4300 Block of Dwight Dr,Sgt. Shannon Blackamore,53704,43.127748,-89.311499
2066,NA,NA,Intoxicated/Impaired Driver,2018-502591,NA,1100 Bl E Washington Ave,Lt. John Radovan,53703,43.0814465,-89.3754101
